Crop,Critical period,Comments
"Peas, dry",At start of flowering and when pods are swelling,
"Peas, green",Blossom through harvest,
Peppers,At flowering stage and when peppers are swell- ing,
Potato,Flowering and tuber formation to harvest,Low-quality tubers result if moisture stress during tuber development and growth
Radish,During period of root enlargement,Hot radishes can be the result of moisture stress
Sunflower,Flowering to seed development,
"Sorghum, grain","Secondary rooting and tillering to boot stage, heading, flowering, and grain formation through filling",
Soybeans,Flowering and fruiting stage,
Strawberries,Fruit development through harvest,
Sugar beets,"At time of plant emergence, following thinning, and 1 month after emergence",Temporary leaf wilt on hot days is common even with adequate soil water content
Sugarcane,During period of maximum vegetative growth,
Tobacco,Knee high to blossoming,
Tomatoes,"When flowers are forming, fruit is setting, and fruits are rapidly enlarging",
Turnips,When size of edible root increases rapidly up to harvest,Strong tasting turnips can be the result of moisture stress
Vine crops,Blossom through harvest,
Watermelon,Blossom through harvest,
