Essential element,Function in plant
Calcium,• Essential for cell elongation and division • Specifically required for: -root and leaf development -function and cell membranes -formation of cell wall compounds • Involved in the activation of several plant enzymes
Magnesium,"• Primary component of chlorophyll and is therefore actively involved in photosynthesis • Structural component of ribosomes, which are required for protein synthesis • Involved in phosphate metabolism, respiration, and the activation of several enzyme systems"
Sulfur,"• Required for the synthesis of the sulfur-containing amino acids cystine, cysteine, and methionine, which are essential for protein forma- tion • Involved with: -development of enzymes and vitamins -promotion of nodulation for nitrogen fixation by legumes -seed production chlorophyll formation -formation of several organic compounds that give characteristic odors to garlic, mustard, and onion"
Boron,"• Essential for: -germination of pollen grains and growth of pollen tubes -seed and cell wall formation -development and growth of new cells in meristematic tissue • Forms sugar/borate complexes associated with the translocation of sugars, starches, N, and P • Important in protein synthesis"
Copper,• Necessary for chlorophyll formation • Catalyzes several enzymes
Iron,"• Serves as a catalyst in chlorophyll synthesis -development of enzymes and vitamins -promotion of nodulation for nitrogen fixation by legumes -seed production chlorophyll formation -formation of several organic compounds that give characteristic odors to garlic, mustard, and onion"
Boron,"• Essential for: -germination of pollen grains and growth of pollen tubes -seed and cell wall formation -development and growth of new cells in meristematic tissue • Forms sugar/borate complexes associated with the translocation of sugars, starches, N, and P • Important in protein synthesis"
Copper,• Necessary for chlorophyll formation • Catalyzes several enzymes
Iron,• Serves as a catalyst in chlorophyll synthesis • Involved in many oxidation-reduction reactions during respiration and photosynthesis
Manganese,• Functions primarily as a part of the enzyme systems in plants • Serves as a catalyst in chlorophyll synthesis along with iron • Activates several important metabolic reactions (enzymes) • Plays a direct role in photosynthesis
Zinc,"• Aids in the synthesis of plant growth compounds and enzyme systems • Essential for promoting certain metabolic/enzymatic reactions • Necessary for the production of chlorophyll, carbohydrates, and growth hormones"
Molybdenum,• Required for the synthesis and activity of nitrate reductase; the enzyme system that reduces NO 3 - to NH 4 + in the plant • Essential in the process of symbiotic nitrogen fixation by Rhizobia bacteria in legume root nodules
Chlorine,• Involved in: -energy reactions in the plant -breakdown of water -regulation of stomata guard cells -maintenance of turgor and rate of water loss -plant response to moisture stress and resistance to some diseases • Activates several enzyme systems
Cobalt,• Essential in the process of symbiotic nitrogen fixation by Rhizobia bacteria in legume root nodules • Has not been proven to be essential for the growth of all higher plants
Nickel,• Component of the urease enzyme • Essential for plants supplied with urea and for those in which ureides are important in nitrogen metabolism
