"Tillage, Conventional","Primary and secondary tillage operations normally performed in preparing a seedbed and/or cultivating for a given crop grown in a given geographi- cal area, usually resulting in little or no crop residues remaining on the surface after completion of the tillage sequence."
Inversion,"Reversal of vertical order of occurrence of layers of soil, or of the soil within a layer."
Non-inversion,Tillage that does not mix (or minimizes the mixing of) soil horizons or does not vertically mix soil within a horizon.
Subsoiling,Any treatment to non-inversively loosen soil below the Ap horizon with a minimum of vertical mixing of the soil. Any treatment to fracture and/or shatter soil with narrow tools below the depth of normal tillage without inversion and with a minimum mixing of the soil. This loosening is usually performed by lifting action or other displacement of soil dry enough so that shattering occurs.
Tilth,"The physical condition of soil as related to its ease of tillage, fitness as a seedbed, and its impedance to seedling emergence and root penetration."
Total Maximum Daily Load (TMDL),The maximum quantity of a particular water pollutant that can be dis- charged into a body of water without violating a water quality standard.
Transport,"The movement of detached soil material across the land surface or through the air by wind or running water. Transport of soil particles in wind is by three modes: (l) saltation, (2) suspension, and (3) surface creep."
Transport capacity,The maximum amount of soil material that can be carried by wind or run- ning water under given conditions.
Trap strip,"A strip of grass or other erosion-resisting vegetation, planted between cultivated strips or fields and having sufficient width, height, and density to trap and store incoming saltation. Trap strips are usually not tall enough to create significant barrier effects."
Unit plot,"A standard plot used to experimentally determine factor values in USLE and RUSLE. It is arbitrarily defined as being 72.6 feet long, with a uniform slope of 9 percent, in continuous fallow, tilled up and down the slope."
Unsheltered distance,"The distance across an erodible field, measured along the prevailing wind erosion direction, beginning at a stable border on the upwind side and continuing downwind to a non-erodible or stable area, or to the downwind edge of the area being evaluated."
Unsheltered field,A field or portion of a field characterized by the absence of windbreaks or barriers and fully exposed to open wind velocity.
Universal Soil Loss Equation (USLE),"An empirical model that predicts long-term average annual soil loss for a given set of climatic conditions, on a defined land slope, and under a speci- fied cropping and tillage management system."
Vegetative wind barrier,"Narrow strips of annual or perennial vegetation planted at intervals across fields for wind erosion control, snow management, or protection of sen- sitive crops. Barriers have sufficient height and density to create a shel- tered zone downwind. In the protected zone, wind velocities are reduced enough to prevent saltation from beginning. Vegetative barriers may also trap incoming saltation, but this is a secondary function."
