"Pesticide mitigation conser- vation practices 1, 2.Pesticide mitigation conser- vation practices 1, 2",Mitigation index value 4.Leaching,Mitigation index value 4.Solution runoff,Mitigation index value 4.Adsorbed runoff,Mitigation index value 4.Drift,Function and performance criteria.Function and performance criteria
Alley Cropping (311),5,5,10,10,"Increases infiltration and uptake of subsurface water, reduces soil erosion, can provide habitat for beneficial insects which can reduce the need for pesticides, also can reduce pesticide drift to surface water."
Anionic Polyacrylamide (PAM) Erosion Control (450),,5,15,,"Increases infiltration and deep percolation, reduces soil erosion."
Bedding (310),5,5,5,,Increases surface infiltration and aerobic pesti- cide degradation in the rootzone.
Conservation Cover (327),10,10,10,,"Increases infiltration, reduces soil erosion, and builds soil organic matter In perennial cropping systems such as orchards, vineyards, berries and nursery stock."
Conservation Crop Rotation (328),10,10,10,,Reduces the need for pesticides by breaking pest lifecycles. The rotation shall consist of at least 2 crops in the rotation and no crop grown more than once before growing a different crop.
Constructed Wetland (656),5,5,10,,Captures pesticide residues and facilitates their degradation.
Contour Buffer Strips (332),,10,10,,"Increases infiltration, reduces soil erosion."
Contour Farming (330),,5,5,,"Increases infiltration and deep percolation, reduces soil erosion."
Contour Orchard and Other Fruit Area (331),,5,5,,"Increases infiltration and deep percolation, reduces soil erosion."
Cover Crop (340) that is incorporated into the soil.,5,5,5,,"Increases infiltration, reduces soil erosion, builds soil organic matter. Assumes at least 4000 lbs/ac of live biomass at the time of till- age."
Cover Crop (340) for weed suppression that is mulch tilled or no-tilled into for the next crop.,10,10,10,10,"Increases infiltration, reduces soil erosion, builds soil organic matter. Assumes at least 4000 lbs/ac of live biomass at the time of tillage and at least 30% ground cover at the time of the pesticide application."
Cross Wind Ridges (588),,,5 3/,,Reduces wind erosion and adsorbed pesticide deposition in surface water. Assumes the pes- ticide is applied while the field is in the ridged state.
Cross Wind Trap Strips (589C),,,10 3/,,"Reduces wind erosion and adsorbed pesticide deposition in surface water, traps adsorbed pesticides."
