Contour farming,The practice of using ridges and furrows left by tillage to redirect runoff from a path directly downslope to a path around the hillslope.
Cover crop,"Close-growing crop that provides soil protection, seeding protection and soil improvement between periods of normal crop production, or between trees in orchards and vines in vineyards. When incorporated into the soil, cover crops may be referred to as green manure crops."
Critical wind erosion period,"Period of the year when the greatest amount of wind erosion can be expect- ed to occur from a field under an identified management system. It is the period when the combination of vegetative cover, soil surface conditions, and expected erosive winds result in the greatest potential for wind erosion."
Crop residue management,"Maintaining stubble, stalks, and other crop residue on the soil surface or partially incorporated into the surface layer to reduce erosion, conserve soil moisture, and improve soil tilth."
Crop rotation,"A planned sequence of several different crops grown on the same land in successive years or seasons, done to replenish the soil, reduce insect, weed and disease populations, or to provide adequate feedstocks for live- stock operations."
Crop tolerance to wind erosion,"Ability of crop plants to tolerate wind blown soil particles when in the seed- ling stage or exposure of plant roots where soil is eroded away, or burial of plants by drifting soil, or desiccation and twisting of plants by the wind."
Crust,"A thin surface layer, where aggregates are bound together and the surface is sealed. It is more compact and mechanically stable than the soil mate- rial immediately beneath it. Crust is characterized by its dense, platey structure that becomes less distinct with depth until it merges with the soil below. Crust is a transitory condition."
Deposition,The accumulation of eroded soil material on the land surface when the velocity of the transporting agent (wind or water) is reduced.
Desert pavement,A non-erodible soil surface devoid of erodible materials or consisting of gravel or stones left on the land surface. It occurs in desert regions as a result of the removal of fine materials by wind or water erosion. Desert pavement is virtually non-erodible.
Detachment,"The removal of transportable fragments of soil material from the soil mass by an eroding agent, usually falling raindrops, running water, wind, or windblown soil particles. Detachment is the process that makes soil particles or aggregates available for transport."
Drought year,Any year when precipitation is less than 80 percent of the long-term nor- mal.
Dry aggregate,A compound or secondary air-dry soil particle that is not destroyed by dry sieving.
Dryland farming,Crop production without irrigation (rainfed agriculture).
Dust storm,A strong turbulent wind carrying large amounts of soil particles in suspen- sion.
E tables,"Tables derived from computer solutions (WEROS) of the Wind Erosion Equation that display values of average annual wind erosion per acre (E) for various combinations of soil erodibility (I), ridge roughness (K), cli- mate (C), unsheltered distance (L), and vegetative cover (V)."
